Japan,Tokyo,35.687,139.7495
Indonesia,Jakarta,-6.175,106.8275
Philippines,Manila,14.5958,120.9772
"Korea, South",Seoul,37.5667,126.9833
Mexico,Mexico City,19.4333,-99.1333
Egypt,Cairo,30.0444,31.2358
Norway,Bergen,60.3913,5.3221
Bangladesh,Dhaka,23.7289,90.3944
China,Beijing,39.9067,116.3975
Thailand,Bangkok,13.7525,100.4942
Russia,Moscow,55.7506,37.6175
Argentina,Buenos Aires,-34.6036,-58.3814
Iran,Tehran,35.6889,51.3897
Congo (Kinshasa),Kinshasa,-4.3219,15.3119
United Kingdom,London,51.5072,-0.1275
France,Paris,48.8567,2.3522
Peru,Lima,-12.06,-77.0375
Angola,Luanda,-8.8383,13.2344
Malaysia,Kuala Lumpur,3.1686,101.698
Vietnam,Hanoi,21.0,105.85
Colombia,Bogota,4.7111,-74.0722
Sudan,Khartoum,15.6031,32.5265
Hong Kong,Hong Kong,22.3,114.2
Saudi Arabia,Riyadh,24.65,46.71
Chile,Santiago,-33.4372,-70.6506
Burma,Rangoon,16.795,96.16
Spain,Madrid,40.4169,-3.7033
Iraq,Baghdad,33.3153,44.3661
Singapore,Singapore,1.3,103.8
Turkey,Ankara,39.93,32.85
Ethiopia,Addis Ababa,9.03,38.74
Kenya,Nairobi,-1.2864,36.8172
United States,Washington,38.9047,-77.0163
Côte d’Ivoire,Abidjan,5.3364,-4.0267
South Africa,Cape Town,-33.9253,18.4239
Germany,Berlin,52.52,13.405
Afghanistan,Kabul,34.5253,69.1783
Mali,Bamako,12.6458,-7.9922
Jordan,Amman,31.9497,35.9328
Nigeria,Abuja,9.0667,7.4833
Venezuela,Caracas,10.4806,-66.9036
Uzbekistan,Tashkent,41.3111,69.2797
Burkina Faso,Ouagadougou,12.3686,-1.5275
Greece,Athens,37.9842,23.7281
Guatemala,Guatemala City,14.6417,-90.5133
Kuwait,Kuwait City,29.3697,47.9783
Ukraine,Kyiv,50.45,30.5233
"Korea, North",Pyongyang,39.0167,125.7475
South Africa,Pretoria,-25.7461,28.1881
Italy,Rome,41.8931,12.4828
Syria,Damascus,33.502,36.2981
Congo (Brazzaville),Brazzaville,-4.2667,15.2667
Yemen,Sanaa,15.3483,44.2064
Taiwan,Taipei,25.0375,121.5625
Cameroon,Yaounde,3.8667,11.5167
Lebanon,Beirut,33.8981,35.5058
Romania,Bucharest,44.4325,26.1039
Algeria,Algiers,36.7325,3.0872
Alaska, Barrow,71.2906,-156.7886
Azerbaijan,Baku,40.3667,49.8352
Austria,Vienna,48.2083,16.3725
Cambodia,Phnom Penh,11.5696,104.921
Somalia,Mogadishu,2.0392,45.3419
Cuba,Havana,23.1367,-82.3589
Poland,Warsaw,52.23,21.0111
Belarus,Minsk,53.9006,27.5586
Puerto Rico,San Juan,18.3985,-66.061
Ecuador,Quito,-0.22,-78.5125
Zambia,Lusaka,-15.4167,28.2833
Uruguay,Montevideo,-34.9056,-56.1842
Hungary,Budapest,47.4983,19.0408
Uganda,Kampala,0.3136,32.5811
Guinea,Conakry,9.5092,-13.7122
Tajikistan,Dushanbe,38.5367,68.78
Zimbabwe,Harare,-17.8292,31.0522
Costa Rica,San Jose,9.9325,-84.08
El Salvador,San Salvador,13.6989,-89.1914
Togo,Lome,6.1308,1.2153
Niger,Niamey,13.515,2.1175
United Arab Emirates,Abu Dhabi,24.4667,54.3667
Netherlands,Amsterdam,52.3728,4.8936
Senegal,Dakar,14.6726,-17.432
Brasil,Manaus,-3.1190,-60.0217
Oman,Muscat,23.6139,58.5922
Bulgaria,Sofia,42.6979,23.3217
Mongolia,Ulaanbaatar,47.9214,106.9055
Czechia,Prague,50.0875,14.4214
Denmark,Copenhagen,55.6805,12.5615
Finland,Helsinki,60.1708,24.9375
Madagascar,Antananarivo,-18.91,47.525
Belgium,Brussels,50.8467,4.3525
Serbia,Belgrade,44.8178,20.4569
Qatar,Doha,25.2867,51.5333
Libya,Tripoli,32.8872,13.1914
Burma,Nay Pyi Taw,19.7475,96.115
Honduras,Tegucigalpa,14.1057,-87.204
Rwanda,Kigali,-1.9536,30.0606
Kyrgyzstan,Bishkek,42.8667,74.5667
Burundi,Bujumbura,-3.3833,29.3667
Mozambique,Maputo,-25.9153,32.5764
Dominican Republic,Santo Domingo,18.4764,-69.8933
Georgia,Tbilisi,41.7225,44.7925
Armenia,Yerevan,40.1814,44.5144
Kazakhstan,Astana,51.1472,71.4222
Mauritania,Nouakchott,18.0858,-15.9785
Canada,Ottawa,45.4247,-75.695
Nicaragua,Managua,12.1364,-86.2514
Turkmenistan,Ashgabat,37.9375,58.38
Liberia,Monrovia,6.3133,-10.8014
Pakistan,Islamabad,33.6931,73.0639
Sweden,Stockholm,59.3275,18.0547
Malawi,Lilongwe,-13.9669,33.7873
Haiti,Port-au-Prince,18.5425,-72.3386
Eritrea,Asmara,15.3358,38.9411
Sierra Leone,Freetown,8.4833,-13.2331
Laos,Vientiane,17.98,102.63
Israel,Jerusalem,31.7789,35.2256
Central African Republic,Bangui,4.3733,18.5628
Panama,Panama City,8.9711,-79.5347
Nepal,Kathmandu,27.71,85.32
Chad,N'Djamena,12.1053,15.0447
Gabon,Libreville,0.3901,9.4544
Croatia,Zagreb,45.8131,15.9772
Tanzania,Dodoma,-6.1731,35.7419
Sri Lanka,Colombo,6.9167,79.8333
Bahrain,Manama,26.2233,50.5875
Norway,Oslo,59.9133,10.7389
Benin,Cotonou,6.3667,2.4333
Moldova,Chisinau,47.0228,28.8353
Estonia,Tallinn,59.4372,24.7453
Latvia,Riga,56.9475,24.1069
Djibouti,Djibouti,11.5944,43.1481
Tunisia,Tunis,36.8064,10.1817
Ireland,Dublin,53.3497,-6.2603
Gaza Strip,Gaza,31.5069,34.456
Lithuania,Vilnius,54.6872,25.28
Jamaica,Kingston,17.9714,-76.7931
Morocco,Rabat,34.0209,-6.8416
Nepal,Everest Summit,27.9858,86.9260
Portugal,Lisbon,38.7122,-9.134
Netherlands,The Hague,52.08,4.31
Guinea-Bissau,Bissau,11.85,-15.5667
Ghana,Accra,5.5461,-0.2067
Malta,Valletta,35.8983,14.5125
Paraguay,Asuncion,-25.2945,-57.6435
Slovakia,Bratislava,48.1447,17.1128
South Sudan,Juba,4.83,31.58
Namibia,Windhoek,-22.57,17.0836
North Macedonia,Skopje,41.9961,21.4317
Albania,Tirana,41.3272,19.8186
"Gambia, The",Banjul,13.4581,-16.5786
Australia,Canberra,-35.2931,149.1269
Lesotho,Maseru,-29.31,27.48
Côte d’Ivoire,Yamoussoukro,6.8161,-5.2742
Cyprus,Nicosia,35.1725,33.365
Bolivia,La Paz,-16.4958,-68.1333
Reunion,Saint-Denis,-20.8789,55.4481
Papua New Guinea,Port Moresby,-9.4789,147.1494
Bolivia,Sucre,-19.0475,-65.26
Equatorial Guinea,Malabo,3.7456,8.7744
Slovenia,Ljubljana,46.0514,14.5061
"Bahamas, The",Nassau,25.0442,-77.3503
South Africa,Bloemfontein,-29.1167,26.2167
Martinique,Fort-de-France,14.6,-61.0667
India,New Delhi,28.6139,77.2089
Bosnia and Herzegovina,Sarajevo,43.8564,18.4131
Suriname,Paramaribo,5.8522,-55.2039
Botswana,Gaborone,-24.6569,25.9086
Guyana,Georgetown,6.8011,-58.155
Timor-Leste,Dili,-8.5594,125.5795
New Zealand,Wellington,-41.2889,174.7772
Kosovo,Pristina,42.6666,21.1724
New Caledonia,Noumea,-22.2625,166.4443
